group,delta_meV,kappa_max_meV
staged T_op=77K t=0.10,2.5,0.8110645372311485
staged T_op=77K t=0.10,3.5,1.4359870195269024
staged T_op=77K t=0.10,5.0,2.374582030974072
staged T_op=77K t=0.50,2.5,4.557259755024614
staged T_op=77K t=0.50,3.5,6.732972328355871
staged T_op=77K t=0.50,5.0,9.997927150105113
staged T_op=120K t=0.10,2.5,nan
staged T_op=120K t=0.10,3.5,nan
staged T_op=120K t=0.10,5.0,1.0601367213100128
staged T_op=120K t=0.50,2.5,3.0350624629502616
staged T_op=120K t=0.50,3.5,5.198741948466844
staged T_op=120K t=0.50,5.0,8.45462128678968
