T_op,target_g2,delta_xx,mu,gamma_op,gamma_xx_op,S_op,B0_op,eps_budget,t_x_floor,eps_op_gamma_window,g2dot_base,rho_required,rho_feasible,b_e_budget_base,b_e_feasible,closes_baseline,w_floor,eps_slit,g2dot_slit,b_e_budget_slit,slit_feasible,closes_slit,kappa_min,eps_cav_min,g2dot_cav,kappa_max,kappa_feasible,G_required_best,G_required_worst,G_feasible,v_tilde_required,F_eff_target,closes_cavity,density_limit_cm2,penalty_budget,aperture_um,T_j_op,dT_J_op,mesa_min_um,mesa_feasible,dT_max,feasible,verdict,tag
77.0,0.1,2.5,0.5,0.8705814833196831,0.6274899190380887,0.8897368850160325,0.012772756042687315,0.08936791728545013,0.3,0.02821464518882367,0.03245700537154966,0.9644642147181414,True,0.0200096929282364,True,True,0.4435834216099881,0.023438069328740607,0.02702098856877831,0.022597591631432094,True,True,0.37310634999414993,0.04786047359238114,0.05456732337127945,0.8110645379163012,True,0.6209310555454712,14.10104970664666,True,38.290119945140646,3.0,True,598475958.58668,0.05,1.0,79.34760509403647,2.347605094036467,0.88484962819109,True,3.0,True,"closes via: baseline; slit (b_e<=0.0226); cavity (G>=0.621..14.1, kappa 0.373..0.811 meV, V~<=38.3)",[A]
77.0,0.1,3.5,0.5,0.8705814833196831,0.6274899190380887,0.8897368850160325,0.012772756042687315,0.08936791728545013,0.3,0.014298711862074317,0.016553444051629135,0.9566341335874997,True,0.027560543327662036,True,True,0.4435834216099881,0.012005602846421255,0.013913316658075832,0.028808124080594348,True,True,0.37310634999414993,0.024887994342508223,0.028673596565555765,1.4359870201655403,True,0.39823648791299143,9.043761720257931,True,38.290119945140646,3.0,True,598475958.58668,0.05,1.0,79.34760509403647,2.347605094036467,0.88484962819109,True,3.0,True,"closes via: baseline; slit (b_e<=0.0288); cavity (G>=0.398..9.04, kappa 0.373..1.44 meV, V~<=38.3)",[A]
77.0,0.1,5.0,0.5,0.8705814833196831,0.6274899190380887,0.8897368850160325,0.012772756042687315,0.08936791728545013,0.3,0.006980609467043605,0.008108461816178775,0.9525530283359332,True,0.03154532338810191,True,True,0.4435834216099881,0.0058949732527721075,0.006850824360734697,0.032137288508625725,True,True,0.37310634999414993,0.012320937705810489,0.0142767002691116,2.3745820315776824,True,0.33260084146756685,7.55320732651487,True,38.290119945140646,3.0,True,598475958.58668,0.05,1.0,79.34760509403647,2.347605094036467,0.88484962819109,True,3.0,True,"closes via: baseline; slit (b_e<=0.0321); cavity (G>=0.333..7.55, kappa 0.373..2.37 meV, V~<=38.3)",[A]
77.0,0.5,2.5,0.5,0.8705814833196831,0.6274899190380887,0.8897368850160325,0.012772756042687315,0.5424270310822167,0.3,0.02821464518882367,0.03245700537154966,0.7188691819919057,True,0.3351799237528799,True,True,0.4435834216099881,0.023438069328740607,0.02702098856877831,0.33865195420441735,True,True,0.37310634999414993,0.04786047359238114,0.05456732337127945,4.557259753826041,True,0.041269269932667975,0.9372055423550218,True,38.290119945140646,3.0,True,598475958.58668,0.05,1.0,79.34760509403647,2.347605094036467,0.88484962819109,True,3.0,True,"closes via: baseline; slit (b_e<=0.339); cavity (G>=0.0413..0.937, kappa 0.373..4.56 meV, V~<=38.3)",[A]
77.0,0.5,3.5,0.5,0.8705814833196831,0.6274899190380887,0.8897368850160325,0.012772756042687315,0.5424270310822167,0.3,0.014298711862074317,0.016553444051629135,0.7130329840994214,True,0.34531045262150817,True,True,0.4435834216099881,0.012005602846421255,0.013913316658075832,0.34698425784409453,True,True,0.37310634999414993,0.024887994342508223,0.028673596565555765,6.732972327104004,True,0.039309153271348686,0.8926922228403315,True,38.290119945140646,3.0,True,598475958.58668,0.05,1.0,79.34760509403647,2.347605094036467,0.88484962819109,True,3.0,True,"closes via: baseline; slit (b_e<=0.347); cavity (G>=0.0393..0.893, kappa 0.373..6.73 meV, V~<=38.3)",[A]
77.0,0.5,5.0,0.5,0.8705814833196831,0.6274899190380887,0.8897368850160325,0.012772756042687315,0.5424270310822167,0.3,0.006980609467043605,0.008108461816178775,0.7099911078441433,True,0.3506565960758259,True,True,0.4435834216099881,0.0058949732527721075,0.006850824360734697,0.35145080062570605,True,True,0.37310634999414993,0.012320937705810489,0.0142767002691116,9.99792714881322,True,0.03830801297641296,0.8699568016753937,True,38.290119945140646,3.0,True,598475958.58668,0.05,1.0,79.34760509403647,2.347605094036467,0.88484962819109,True,3.0,True,"closes via: baseline; slit (b_e<=0.351); cavity (G>=0.0383..0.87, kappa 0.373..10 meV, V~<=38.3)",[A]
120.0,0.1,2.5,0.5,2.3956715215759585,1.7267306483286946,0.5492650649641238,0.012806803224727296,0.08936791728545013,0.3,0.22670439673342116,0.23871795760086717,inf,False,-inf,False,False,1.2206556088719924,0.16743354849420342,0.1809505976227719,-inf,False,False,1.0267163663896965,0.28922462919740677,0.29641893267643815,nan,False,inf,inf,False,13.914540920201109,3.0,False,217484777.46849626,0.05,1.0,122.94208398341067,2.9420839834106687,0.9902693910690893,True,3.0,False,INFEASIBLE: eps floor exceeds budget at any brightness >= 0.3,[A]
120.0,0.1,3.5,0.5,2.3956715215759585,1.7267306483286946,0.5492650649641238,0.012806803224727296,0.08936791728545013,0.3,0.11270707218977684,0.12480365005968275,inf,False,-inf,False,False,1.2206556088719924,0.08837948426252273,0.09893790711190328,-0.012482804051782046,False,False,1.0267163663896965,0.16654504798549954,0.18006100297389893,nan,False,inf,inf,False,13.914540920201109,3.0,False,217484777.46849626,0.05,1.0,122.94208398341067,2.9420839834106687,0.9902693910690893,True,3.0,False,INFEASIBLE: eps floor exceeds budget at any brightness >= 0.3,[A]
120.0,0.1,5.0,0.5,2.3956715215759585,1.7267306483286946,0.5492650649641238,0.012806803224727296,0.08936791728545013,0.3,0.054033349859841734,0.061433118158177195,0.9792388650574132,True,-0.001161670928737089,False,False,1.2206556088719924,0.04404503548216776,0.05030422454113894,0.002153976926311217,True,True,1.0267163663896965,0.08759281382550417,0.09809193098170423,1.0601367255831677,True,23.725730054194262,537.5299156240368,True,13.914540920201109,3.0,True,217484777.46849626,0.05,1.0,122.94208398341067,2.9420839834106687,0.9902693910690893,True,3.0,True,"closes via: slit (b_e<=0.00215); cavity (G>=23.7..538, kappa 1.03..1.06 meV, V~<=13.9)",[A]
120.0,0.5,2.5,0.5,2.3956715215759585,1.7267306483286946,0.5492650649641238,0.012806803224727296,0.5424270310822167,0.3,0.22670439673342116,0.23871795760086717,0.8104238425447163,True,0.11567850899580989,True,True,1.2206556088719924,0.16743354849420342,0.1809505976227719,0.1409227885472422,True,True,1.0267163663896965,0.28922462919740677,0.29641893267643815,3.0350624630969003,True,0.1349712727364487,3.057907878070393,True,13.914540920201109,3.0,True,217484777.46849626,0.05,1.0,122.94208398341067,2.9420839834106687,0.9902693910690893,True,3.0,True,"closes via: baseline; slit (b_e<=0.141); cavity (G>=0.135..3.06, kappa 1.03..3.04 meV, V~<=13.9)",[A]
