mechanism,T_hs_K,Tj_K,g2,eps,rho2,t_x,Tc_lorentzian_K
M-1 poisson-rail (CW p-i-n),77.0,78.26249128381917,1.2654665541822272,4.901980634355724,0.9963855209692786,0.0024024900271165015,202.3068604154548
M-1 poisson-rail (CW p-i-n),120.0,121.5904707226405,0.15048766239846267,0.13249479422594027,0.9940771032920401,0.2016348213637211,202.3068604154548
M-1 poisson-rail (CW p-i-n),300.0,302.59804960358144,0.659355220556445,0.6333127634045753,0.7790216065973175,0.000936688245727169,202.3068604154548
"M-2 quiet-rail (high-Z, F_p=0.5 [A])",77.0,78.26249128381917,0.7256816438545983,4.901980634355724,0.9963855209692786,0.0024024900271165015,328.2167392079068
"M-2 quiet-rail (high-Z, F_p=0.5 [A])",120.0,121.5904707226405,0.051043196312396844,0.13249479422594027,0.9940771032920401,0.2016348213637211,328.2167392079068
"M-2 quiet-rail (high-Z, F_p=0.5 [A])",300.0,302.59804960358144,0.37287510716097516,0.6333127634045753,0.7790216065973175,0.000936688245727169,328.2167392079068
"M-3 pulsed (1 ns window, eta 3e-6 [A])",77.0,77.31462152759069,0.7503185364216642,4.668853633022506,0.9964121050299728,0.0021971914076986763,218.31952639739234
"M-3 pulsed (1 ns window, eta 3e-6 [A])",120.0,120.39658270725529,0.17237904478297406,0.14357649832393662,0.9941603531540048,0.20948357583563643,218.31952639739234
"M-3 pulsed (1 ns window, eta 3e-6 [A])",300.0,300.64835558865923,0.652767766494972,0.6322898255306276,0.734085342238863,0.0009514493853552692,218.31952639739234
M-4a SET metallic (20 nm island),77.0,78.26249128381917,1.2654665541822272,4.901980634355724,0.9963855209692786,0.0024024900271165015,202.3068604154548
M-4a SET metallic (20 nm island),120.0,121.5904707226405,0.15048766239846267,0.13249479422594027,0.9940771032920401,0.2016348213637211,202.3068604154548
M-4a SET metallic (20 nm island),300.0,302.59804960358144,0.659355220556445,0.6333127634045753,0.7790216065973175,0.000936688245727169,202.3068604154548
M-4b SET gated (5 nm island),77.0,78.26249128381917,1.2654665541822272,4.901980634355724,0.9963855209692786,0.0024024900271165015,202.3068604154548
M-4b SET gated (5 nm island),120.0,121.5904707226405,0.15048766239846267,0.13249479422594027,0.9940771032920401,0.2016348213637211,202.3068604154548
M-4b SET gated (5 nm island),300.0,302.59804960358144,0.659355220556445,0.6333127634045753,0.7790216065973175,0.000936688245727169,202.3068604154548
"M-4c SET turnstile (5 nm, R_T 200k)",77.0,78.26249128381917,0.6984375597119031,4.901980634355724,0.9963855209692786,0.0024024900271165015,26.220037058620115
"M-4c SET turnstile (5 nm, R_T 200k)",120.0,121.5904707226405,0.16231933720500658,0.13249479422594027,0.9940771032920401,0.2016348213637211,26.220037058620115
"M-4c SET turnstile (5 nm, R_T 200k)",300.0,302.59804960358144,0.6289182607121822,0.6333127634045753,0.7790216065973175,0.000936688245727169,26.220037058620115
"M-5a RTI (eta-boosted, quiet rail)",77.0,78.26249128381917,0.8365298679548342,4.901980634355724,0.9963855209692786,0.0024024900271165015,311.44307277808275
"M-5a RTI (eta-boosted, quiet rail)",120.0,121.5904707226405,0.080521239752536,0.13249479422594027,0.9940771032920401,0.2016348213637211,311.44307277808275
"M-5a RTI (eta-boosted, quiet rail)",300.0,302.59804960358144,0.45775030340904277,0.6333127634045753,0.7790216065973175,0.000936688245727169,311.44307277808275
