contrast,config,kappa_meV,eps,rho2,t_x,g2_p,g2_q,dT_J,Tj,passes_g2_quiet,passes_g2_poisson,passes_brightness
assumed 3.5/3.0 (baseline),slit,nan,0.13154637180741433,0.9540518914702144,0.48044134967836405,0.18375716210795812,0.08895065452387596,1.5904707226405037,121.5904707226405,True,False,True
assumed 3.5/3.0 (baseline),10 pairs,3.0975460449408274,0.1073815968723709,0.9940771032920401,0.4066584829462347,0.12440708483454443,0.04269299721023723,1.5904707226405037,121.5904707226405,True,False,True
assumed 3.5/3.0 (baseline),12 pairs,1.6522387159009213,0.10259326912949741,0.9940771032920401,0.325595043192962,0.11936662251788943,0.04109032576329885,1.5904707226405037,121.5904707226405,True,False,True
assumed 3.5/3.0 (baseline),14 pairs,0.8862225073778518,0.09680330955936219,0.9940771032920401,0.2264656548773647,0.11324248314514718,0.03914786864402875,1.5904707226405037,121.5904707226405,True,False,False
assumed 3.5/3.0 (baseline),16 pairs,0.476747545083299,0.09197668981922025,0.9940771032920401,0.14160667512161318,0.10811264086739336,0.03752479527199437,1.5904707226405037,121.5904707226405,True,False,False
assumed 3.5/3.0 (baseline),18 pairs,0.25687020147120165,0.08873974420238342,0.9940771032920401,0.08295883491825326,0.10465972895564302,0.03643434787062827,1.5904707226405037,121.5904707226405,True,False,False
T-3b aggressive x=0.40 (3.62/3.10),slit,nan,0.13154637180741433,0.9540518914702144,0.48044134967836405,0.18375716210795812,0.08895065452387596,1.5904707226405037,121.5904707226405,True,False,True
T-3b aggressive x=0.40 (3.62/3.10),10 pairs,3.0015329469115386,0.10719616915688053,0.9940771032920401,0.4035198259100841,0.12421230014097862,0.04263099694880135,1.5904707226405037,121.5904707226405,True,False,True
T-3b aggressive x=0.40 (3.62/3.10),12 pairs,1.5954257681494255,0.10227434251114495,0.9940771032920401,0.32018107638459525,0.11903012461535845,0.0409834593006142,1.5904707226405037,121.5904707226405,True,False,True
T-3b aggressive x=0.40 (3.62/3.10),14 pairs,0.8527019297303013,0.09646150316071475,0.9940771032920401,0.22053811872574908,0.11287994222028974,0.03903304149451281,1.5904707226405037,121.5904707226405,True,False,False
T-3b aggressive x=0.40 (3.62/3.10),16 pairs,0.4570616885430354,0.09170638326627002,0.9940771032920401,0.13676966037323326,0.10782468782336707,0.037433795362218025,1.5904707226405037,121.5904707226405,True,False,False
T-3b aggressive x=0.40 (3.62/3.10),18 pairs,0.24536902120053128,0.08855696277272261,0.9940771032920401,0.07959646209481361,0.10446444963830404,0.03637272672386627,1.5904707226405037,121.5904707226405,True,False,False
T-3b conservative x=0.45 (3.54/3.10),slit,nan,0.13154637180741433,0.9540518914702144,0.48044134967836405,0.18375716210795812,0.08895065452387596,1.5904707226405037,121.5904707226405,True,False,True
T-3b conservative x=0.45 (3.54/3.10),10 pairs,4.705305634849992,0.10926642208757033,0.9940771032920401,0.43860615338792747,0.12638516515924747,0.04332292582730224,1.5904707226405037,121.5904707226405,True,False,True
T-3b conservative x=0.45 (3.54/3.10),12 pairs,2.7165760061045603,0.10656689820347753,0.9940771032920401,0.39287167679299156,0.12355103107991716,0.04242055382984278,1.5904707226405037,121.5904707226405,True,False,True
T-3b conservative x=0.45 (3.54/3.10),14 pairs,1.580684819565704,0.10218920727923385,0.9940771032920401,0.3187352448407317,0.11894028239535392,0.04095492949788837,1.5904707226405037,121.5904707226405,True,False,True
T-3b conservative x=0.45 (3.54/3.10),16 pairs,0.9238541870568042,0.09717665950136456,0.9940771032920401,0.23292824058310074,0.11363835264523015,0.039273272770508405,1.5904707226405037,121.5904707226405,True,False,False
T-3b conservative x=0.45 (3.54/3.10),18 pairs,0.5413489880406814,0.09283772393255581,0.9940771032920401,0.15694807988172707,0.10902941524796494,0.03781459375655927,1.5904707226405037,121.5904707226405,True,False,False
